Participants,Proficiency,Skill,Score
1,Intermediate,Listening,77
2,Intermediate,Listening,74
3,Intermediate,Listening,73
4,Intermediate,Listening,72
5,Intermediate,Listening,69
6,Intermediate,Listening,68
7,Intermediate,Listening,69
8,Intermediate,Listening,74
9,Intermediate,Listening,68
10,Intermediate,Listening,73
11,Intermediate,Listening,79
12,Intermediate,Listening,76
13,Intermediate,Listening,77
14,Intermediate,Listening,79
15,Intermediate,Listening,79
16,Intermediate,Reading,72
17,Intermediate,Reading,77
18,Intermediate,Reading,71
19,Intermediate,Reading,76
20,Intermediate,Reading,76
21,Intermediate,Reading,77
22,Intermediate,Reading,73
23,Intermediate,Reading,74
24,Intermediate,Reading,73
25,Intermediate,Reading,74
26,Intermediate,Reading,75
27,Intermediate,Reading,77
28,Intermediate,Reading,73
29,Intermediate,Reading,78
30,Intermediate,Reading,77
31,Advanced,Listening,77
32,Advanced,Listening,79
33,Advanced,Listening,76
34,Advanced,Listening,78
35,Advanced,Listening,80
36,Advanced,Listening,79
37,Advanced,Listening,75
38,Advanced,Listening,80
39,Advanced,Listening,76
40,Advanced,Listening,75
41,Advanced,Listening,83
42,Advanced,Listening,89
43,Advanced,Listening,87
44,Advanced,Listening,75
45,Advanced,Listening,77
46,Advanced,Reading,88
47,Advanced,Reading,89
48,Advanced,Reading,84
49,Advanced,Reading,81
50,Advanced,Reading,84
51,Advanced,Reading,85
52,Advanced,Reading,84
53,Advanced,Reading,86
54,Advanced,Reading,87
55,Advanced,Reading,86
56,Advanced,Reading,88
57,Advanced,Reading,84
58,Advanced,Reading,87
59,Advanced,Reading,89
60,Advanced,Reading,90